category,category_minor,authors,title,year,volume,issue,pages,url_abstract,url_extract,url_fulltext,url_fullpdf,url_abstract_is_duplicate,download_abstract,download_fullpdf
This Week in PNAS,nan,nan,In This Issue,2014,111,52,18401-18402,http://www.pnas.org/content/111/52/18401.abstract,nan,http://www.pnas.org/content/111/52/18401.full,http://www.pnas.org/content/111/52/18401.full.pdf,,yes,
Letters (Online Only),nan,"Nancy Simon, Richard Reed",Incorrect representation of Barrier Canyon rock art site’s history and other factors invalidate reported dates,2014,111,52,E5602-E5603,http://www.pnas.org/content/111/52/E5602.abstract,nan,http://www.pnas.org/content/111/52/E5602.full,http://www.pnas.org/content/111/52/E5602.full.pdf,,yes,
Letters (Online Only),nan,"Joel L. Pederson, Melissa S. Chapot, Steven R. Simms, Reza Sohbati, Tammy M. Rittenour, Andrew S. Murray, Gary Cox",Reply to Simon and Reed: Independent and converging results rule out historic disturbance and confirm age constraints for Barrier Canyon rock art,2014,111,52,E5604,http://www.pnas.org/content/111/52/E5604.abstract,nan,http://www.pnas.org/content/111/52/E5604.full,http://www.pnas.org/content/111/52/E5604.full.pdf,,yes,
Letters (Online Only),nan,"John T. Abatzoglou, David E. Rupp, Philip W. Mote",Questionable evidence of natural warming of the northwestern United States,2014,111,52,E5605-E5606,http://www.pnas.org/content/111/52/E5605.abstract,nan,http://www.pnas.org/content/111/52/E5605.full,http://www.pnas.org/content/111/52/E5605.full.pdf,,yes,
Letters (Online Only),nan,"James A. Johnstone, Nathan J. Mantua","Reply to Abatzoglou et al.: Atmospheric controls on northwest United States air temperatures, 1948–2012",2014,111,52,E5607-E5608,http://www.pnas.org/content/111/52/E5607.abstract,nan,http://www.pnas.org/content/111/52/E5607.full,http://www.pnas.org/content/111/52/E5607.full.pdf,,yes,
Reviewer Acknowledgment (Online Only),nan,nan,"Acknowledgment of Reviewers, 2014",2014,111,52,E5724-E5760,http://www.pnas.org/content/111/52/E5724.abstract,nan,http://www.pnas.org/content/111/52/E5724.full,http://www.pnas.org/content/111/52/E5724.full.pdf,,yes,
Science and Culture,nan,Maggie McKee,Science and Culture: Q&A with Roger Malina,2014,111,52,18403-18404,http://www.pnas.org/content/111/52/18403.abstract,nan,http://www.pnas.org/content/111/52/18403.full,http://www.pnas.org/content/111/52/18403.full.pdf,,yes,
Commentaries,nan,Duane Froese,The curious case of the Arctic mastodons,2014,111,52,18405-18406,http://www.pnas.org/content/111/52/18405.abstract,nan,http://www.pnas.org/content/111/52/18405.full,http://www.pnas.org/content/111/52/18405.full.pdf,,yes,
Commentaries,nan,Alejandro Portes,Downsides of social capital,2014,111,52,18407-18408,http://www.pnas.org/content/111/52/18407.abstract,nan,http://www.pnas.org/content/111/52/18407.full,http://www.pnas.org/content/111/52/18407.full.pdf,,yes,
Commentaries,nan,Elisabeth Carniel,Subtle genetic modifications transformed an enteropathogen into a flea-borne pathogen,2014,111,52,18409-18410,http://www.pnas.org/content/111/52/18409.abstract,nan,http://www.pnas.org/content/111/52/18409.full,http://www.pnas.org/content/111/52/18409.full.pdf,,yes,
