category,category_minor,authors,title,year,volume,issue,pages,url_abstract,url_extract,url_fulltext,url_fullpdf,url_abstract_is_duplicate,download_abstract,download_fullpdf
This Week in PNAS,nan,nan,In This Issue,2015,112,52,15767-15768,http://www.pnas.org/content/112/52/15767.abstract,nan,http://www.pnas.org/content/112/52/15767.full,http://www.pnas.org/content/112/52/15767.full.pdf,,yes,
PNAS 100th Anniversary Article,Commentary,"Partha Sarathi Dasgupta, Eric S. Maskin",Debreu’s social equilibrium existence theorem,2015,112,52,15769-15770,http://www.pnas.org/content/112/52/15769.abstract,nan,http://www.pnas.org/content/112/52/15769.full,http://www.pnas.org/content/112/52/15769.full.pdf,,yes,
Letters (Online Only),Commentary,Stephanie M. Melillo,An alternative interpretation of the,2015,112,52,E7159,http://www.pnas.org/content/112/52/E7159.abstract,nan,http://www.pnas.org/content/112/52/E7159.full,http://www.pnas.org/content/112/52/E7159.full.pdf,,yes,
Letters (Online Only),Commentary,"Nathan M. Young, Terence D. Capellini, Neil T. Roach, Zeresenay Alemseged",Reply to Melillo: Woranso-Mille is consistent with an australopithecine shoulder intermediate between African apes and,2015,112,52,E7160,http://www.pnas.org/content/112/52/E7160.abstract,nan,http://www.pnas.org/content/112/52/E7160.full,http://www.pnas.org/content/112/52/E7160.full.pdf,,yes,
Letters (Online Only),Commentary,"Youhua Chen, Dénes Schmera",Additive partitioning of a beta diversity index is controversial,2015,112,52,E7161,http://www.pnas.org/content/112/52/E7161.abstract,nan,http://www.pnas.org/content/112/52/E7161.full,http://www.pnas.org/content/112/52/E7161.full.pdf,,yes,
Letters (Online Only),Commentary,"Kris A. Murray, Andrés Baselga",Reply to Chen and Schmera: Partitioning beta diversity into replacement and nestedness-resultant components is not controversial,2015,112,52,E7162,http://www.pnas.org/content/112/52/E7162.abstract,nan,http://www.pnas.org/content/112/52/E7162.full,http://www.pnas.org/content/112/52/E7162.full.pdf,,yes,
Letters (Online Only),Commentary,Anne B. Newman,Is the onset of obesity the same as aging?,2015,112,52,E7163,http://www.pnas.org/content/112/52/E7163.abstract,nan,http://www.pnas.org/content/112/52/E7163.full,http://www.pnas.org/content/112/52/E7163.full.pdf,,yes,
Letters (Online Only),Commentary,Daniel W. Belsky,Reply to Newman: Quantification of biological aging in young adults is not the same thing as the onset of obesity,2015,112,52,E7164-E7165,http://www.pnas.org/content/112/52/E7164.abstract,nan,http://www.pnas.org/content/112/52/E7164.full,http://www.pnas.org/content/112/52/E7164.full.pdf,,yes,
Reviewer Acknowledgment (Online Only),Commentary,nan,"Acknowledgment of Reviewers, 2015",2015,112,52,E7308-E7344,http://www.pnas.org/content/112/52/E7308.abstract,nan,http://www.pnas.org/content/112/52/E7308.full,http://www.pnas.org/content/112/52/E7308.full.pdf,,yes,
Inner Workings,Commentary,Megan Scudellari,Inner Workings: DNA for data storage and computing,2015,112,52,15771-15772,http://www.pnas.org/content/112/52/15771.abstract,nan,http://www.pnas.org/content/112/52/15771.full,http://www.pnas.org/content/112/52/15771.full.pdf,,yes,
Profile,Commentary,"Wesley C. Van Voorhis, Rob Hooft van Huijsduijnen, Timothy N. C. Wells","Profile of William C. Campbell, Satoshi Ōmura, and Youyou Tu, 2015 Nobel Laureates in Physiology or Medicine",2015,112,52,15773-15776,http://www.pnas.org/content/112/52/15773.abstract,nan,http://www.pnas.org/content/112/52/15773.full,http://www.pnas.org/content/112/52/15773.full.pdf,,yes,
Commentaries,Commentary,Eugene V. Koonin,Energetics and population genetics at the root of eukaryotic cellular and genomic complexity,2015,112,52,15777-15778,http://www.pnas.org/content/112/52/15777.abstract,nan,http://www.pnas.org/content/112/52/15777.full,http://www.pnas.org/content/112/52/15777.full.pdf,,yes,
Commentaries,Commentary,Liang Ma,Battle of sex hormones in genitalia anomalies,2015,112,52,15779-15780,http://www.pnas.org/content/112/52/15779.abstract,nan,http://www.pnas.org/content/112/52/15779.full,http://www.pnas.org/content/112/52/15779.full.pdf,,yes,
Commentaries,Commentary,"Akihiro Nishi, Nicholas A. Christakis",Human behavior under economic inequality shapes inequality,2015,112,52,15781-15782,http://www.pnas.org/content/112/52/15781.abstract,nan,http://www.pnas.org/content/112/52/15781.full,http://www.pnas.org/content/112/52/15781.full.pdf,,yes,
Commentaries,Commentary,Greg Lemke,Adopting ALK and LTK,2015,112,52,15783-15784,http://www.pnas.org/content/112/52/15783.abstract,nan,http://www.pnas.org/content/112/52/15783.full,http://www.pnas.org/content/112/52/15783.full.pdf,,yes,
Commentaries,Commentary,Peter A. Nigrovic,Autoinflammation and autoimmunity in systemic juvenile idiopathic arthritis,2015,112,52,15785-15786,http://www.pnas.org/content/112/52/15785.abstract,nan,http://www.pnas.org/content/112/52/15785.full,http://www.pnas.org/content/112/52/15785.full.pdf,,yes,
PNAS Plus Significance Statements,Commentary,nan,PNAS Plus Significance Statements,2015,112,52,15787-15789,http://www.pnas.org/content/112/52/15787.abstract,nan,http://www.pnas.org/content/112/52/15787.full,http://www.pnas.org/content/112/52/15787.full.pdf,,yes,
Physical Sciences,Applied Physical Sciences,"Sean Gart, John J. Socha, Pavlos P. Vlachos, Sunghwan Jung, Kristina O. Kvashnina, Li Luo, Martin J. Süess, Pieter Glatzel, Dorota Koziej",Dogs lap using acceleration-driven open pumping,2015,112,52,15798-15802,http://www.pnas.org/content/112/52/15798.abstract,nan,http://www.pnas.org/content/112/52/15798.full,http://www.pnas.org/content/112/52/15798.full.pdf,,yes,
Physical Sciences,Applied Physical Sciences,"Ofer Hirsch, Kristina O. Kvashnina, Li Luo, Martin J. Süess, Pieter Glatzel, Dorota Koziej",High-energy resolution X-ray absorption and emission spectroscopy reveals insight into unique selectivity of La-based nanoparticles for CO,2015,112,52,15803-15808,http://www.pnas.org/content/112/52/15803.abstract,nan,http://www.pnas.org/content/112/52/15803.full,http://www.pnas.org/content/112/52/15803.full.pdf,,yes,
Physical Sciences,Chemistry,"Sheng Zhang, Peng Kang, Mohammed Bakir, Alexander M. Lapides, Christopher J. Dares, Thomas J. Meyer, Brian M. Zeglis, Dalya Abdel-Atti, Robert Aggeler, Ritsuko Sawada, Brian J. Agnew, Wolfgang W. Scholz, Jason S. Lewis, Michael C. Gregory, Ilia G. Denisov, Stephen G. Sligar, James R. Kincaid, John A. Cole, Jingyi Fei, Taekjip Ha, Zaida A. Luthey-Schulten",Polymer-supported CuPd nanoalloy as a synergistic catalyst for electrocatalytic reduction of carbon dioxide to methane,2015,112,52,15809-15814,http://www.pnas.org/content/112/52/15809.abstract,nan,http://www.pnas.org/content/112/52/15809.full,http://www.pnas.org/content/112/52/15809.full.pdf,,yes,
Physical Sciences,Chemistry,"Jacob L. Houghton, Brian M. Zeglis, Dalya Abdel-Atti, Robert Aggeler, Ritsuko Sawada, Brian J. Agnew, Wolfgang W. Scholz, Jason S. Lewis","Site-specifically labeled CA19.9-targeted immunoconjugates for the PET, NIRF, and multimodal PET/NIRF imaging of pancreatic cancer",2015,112,52,15850-15855,http://www.pnas.org/content/112/52/15850.abstract,nan,http://www.pnas.org/content/112/52/15850.full,http://www.pnas.org/content/112/52/15850.full.pdf,,yes,
Physical Sciences,Chemistry,"Piotr J. Mak, Michael C. Gregory, Ilia G. Denisov, Stephen G. Sligar, James R. Kincaid",Unveiling the crucial intermediates in androgen production,2015,112,52,15856-15861,http://www.pnas.org/content/112/52/15856.abstract,nan,http://www.pnas.org/content/112/52/15856.full,http://www.pnas.org/content/112/52/15856.full.pdf,,yes,
Physical Sciences,Chemistry,"Joseph R. Peterson, John A. Cole, Jingyi Fei, Taekjip Ha, Zaida A. Luthey-Schulten",Effects of DNA replication on mRNA noise,2015,112,52,15886-15891,http://www.pnas.org/content/112/52/15886.abstract,nan,http://www.pnas.org/content/112/52/15886.full,http://www.pnas.org/content/112/52/15886.full.pdf,,yes,
Physical Sciences,"Earth, Atmospheric, and Planetary Sciences","Ryan D. Davis, Sara Lance, Joshua A. Gordon, Shuichi B. Ushijima, Margaret A. Tolbert",Contact efflorescence as a pathway for crystallization of atmospherically relevant particles,2015,112,52,15815-15820,http://www.pnas.org/content/112/52/15815.abstract,nan,http://www.pnas.org/content/112/52/15815.full,http://www.pnas.org/content/112/52/15815.full.pdf,,yes,
Physical Sciences,Statistics,"Matthias Kümmerer, Thomas S. A. Wallis, Matthias Bethge",Information-theoretic model comparison unifies saliency metrics,2015,112,52,16054-16059,http://www.pnas.org/content/112/52/16054.abstract,nan,http://www.pnas.org/content/112/52/16054.full,http://www.pnas.org/content/112/52/16054.full.pdf,,yes,
