category,category_minor,authors,title,year,volume,issue,pages,url_abstract,url_extract,url_fulltext,url_fullpdf,url_abstract_is_duplicate,download_abstract,download_fullpdf,abstract_local_path,local_fullpdf_path,category_fullpdf,category_abstract_1_major,category_abstract_1_minor,category_abstract_2_major,category_abstract_2_minor,category_merged,keywords,warning
Reviewer Acknowledgment (Online Only),nan,nan,"Acknowledgment of Reviewers, 2017",2017,114,52,E11337-E11375,http://www.pnas.org/content/114/52/E11337.abstract,nan,http://www.pnas.org/content/114/52/E11337.full,http://www.pnas.org/content/114/52/E11337.full.pdf,nan,yes,nan,2017/E11337.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Letter (Online Only),nan,"Robert B. Eckhardt, Alex S. Weller, Maciej Henneberg",Intercellular competition and levels of development: The plasticity of inevitability,2017,114,52,E11061-E11062,http://www.pnas.org/content/114/52/E11061.abstract,nan,http://www.pnas.org/content/114/52/E11061.full,http://www.pnas.org/content/114/52/E11061.full.pdf,nan,yes,nan,2017/E11061.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,"Daniel Davila-Gonzalez, Jenny C. Chang, Timothy R. Billiar",NO and COX2: Dual targeting for aggressive cancers,2017,114,52,13591-13593,http://www.pnas.org/content/114/52/13591.abstract,nan,http://www.pnas.org/content/114/52/13591.full,http://www.pnas.org/content/114/52/13591.full.pdf,nan,yes,nan,2017/13591.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,R. D. Levine,Photochemistry of highly excited states,2017,114,52,13594-13596,http://www.pnas.org/content/114/52/13594.abstract,nan,http://www.pnas.org/content/114/52/13594.full,http://www.pnas.org/content/114/52/13594.full.pdf,nan,yes,nan,2017/13594.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,"Kathryn M. Rothenhoefer, William R. Stauffer",Dopamine prediction error responses update demand,2017,114,52,13597-13599,http://www.pnas.org/content/114/52/13597.abstract,nan,http://www.pnas.org/content/114/52/13597.full,http://www.pnas.org/content/114/52/13597.full.pdf,nan,yes,nan,2017/13597.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,Vernon L. Scarborough,The hydraulic lift of early states societies,2017,114,52,13600-13601,http://www.pnas.org/content/114/52/13600.abstract,nan,http://www.pnas.org/content/114/52/13600.full,http://www.pnas.org/content/114/52/13600.full.pdf,nan,yes,nan,2017/13600.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Physical Sciences,Applied Physical Sciences,"Nicholas Rivera, Gilles Rosolen, John D. Joannopoulos, Ido Kaminer, Marin Soljačić",Making two-photon processes dominate one-photon processes using mid-IR phonon polaritons,2017,114,52,13607-13612,http://www.pnas.org/content/114/52/13607.abstract,nan,http://www.pnas.org/content/114/52/13607.full,http://www.pnas.org/content/114/52/13607.full.pdf,nan,yes,nan,2017/13607.abstract.txt,,,,,,,Applied Physical Sciences,"two-photonprocesses
","FILE : OK: .abstract.txt ,"
Physical Sciences,Biophysics and Computational Biology,"Tjaart P. J. Krüger, Pavel Malý, Maxime T. A. Alexandre, Tomáš Mančal, Claudia Büchel, Rienk van Grondelle",How reduced excitonic coupling enhances light harvesting in the main photosynthetic antennae of diatoms,2017,114,52,E11063-E11071,http://www.pnas.org/content/114/52/E11063.abstract,nan,http://www.pnas.org/content/114/52/E11063.full,http://www.pnas.org/content/114/52/E11063.full.pdf,nan,yes,nan,2017/E11063.abstract.txt,,,,,,,Biophysics and Computational Biology,"photosyntheticexcitons
","FILE : OK: .abstract.txt ,"
Physical Sciences,Chemistry,"William K. Peters, David E. Couch, Benoit Mignolet, Xuetao Shi, Quynh L. Nguyen, Ryan C. Fortenberry, H. Bernhard Schlegel, Françoise Remacle, Henry C. Kapteyn, Margaret M. Murnane, Wen Li, Zhongheng Fu, Ruifeng Zhang, Qianfan Zhang, Hongzhen Tian, Dominik Legut, Timothy C. Germann, Yuanqi Guo, Shiyu Du, Joseph S. Francisco, Fernando J. Uribe-Romo, Andrew S. Lipton, Song Yang, K. N. Houk, Stuart Brown, Miguel A. Garcia-Garibay, Shan Zhou, Kyle D. Gilroy, Legna Figueroa-Cosme, Yi-Hsien Lee, Jenn-Ming Wu, Younan Xia, Sang Soo Han, Yanqun Song, Haiping Liu, Yufei Yang, Shenlin Wang, Chengqi Yi, Peng R. Chen",Ultrafast 25-fs relaxation in highly excited states of methyl azide mediated by strong nonadiabatic coupling,2017,114,52,E11072-E11081,http://www.pnas.org/content/114/52/E11072.abstract,nan,http://www.pnas.org/content/114/52/E11072.full,http://www.pnas.org/content/114/52/E11072.full.pdf,nan,yes,nan,2017/E11072.abstract.txt,,,,,,,Chemistry,"conicalintersection
","FILE : OK: .abstract.txt ,"
Physical Sciences,Chemistry,"Hang Zhang, Zhongheng Fu, Ruifeng Zhang, Qianfan Zhang, Hongzhen Tian, Dominik Legut, Timothy C. Germann, Yuanqi Guo, Shiyu Du, Joseph S. Francisco",Designing flexible 2D transition metal carbides with strain-controllable lithium storage,2017,114,52,E11082-E11091,http://www.pnas.org/content/114/52/E11082.abstract,nan,http://www.pnas.org/content/114/52/E11082.full,http://www.pnas.org/content/114/52/E11082.full.pdf,nan,yes,nan,2017/E11082.abstract.txt,,,,,,,Chemistry,"MXene
","FILE : OK: .abstract.txt ,"
