category,category_minor,authors,title,year,volume,issue,pages,url_abstract,url_extract,url_fulltext,url_fullpdf,url_abstract_is_duplicate,download_abstract,download_fullpdf
This Week in PNAS,nan,nan,In This Issue,2017,114,52,13585-13586,http://www.pnas.org/content/114/52/13585.abstract,nan,http://www.pnas.org/content/114/52/13585.full,http://www.pnas.org/content/114/52/13585.full.pdf,,yes,
Reviewer Acknowledgment (Online Only),nan,nan,"Acknowledgment of Reviewers, 2017",2017,114,52,E11337-E11375,http://www.pnas.org/content/114/52/E11337.abstract,nan,http://www.pnas.org/content/114/52/E11337.full,http://www.pnas.org/content/114/52/E11337.full.pdf,,yes,
Letter (Online Only),nan,"Robert B. Eckhardt, Alex S. Weller, Maciej Henneberg",Intercellular competition and levels of development: The plasticity of inevitability,2017,114,52,E11061-E11062,http://www.pnas.org/content/114/52/E11061.abstract,nan,http://www.pnas.org/content/114/52/E11061.full,http://www.pnas.org/content/114/52/E11061.full.pdf,,yes,
Opinion,nan,"Daniel K. Manter, Jorge A. Delgado, Harvey D. Blackburn, Daren Harmel, Adalberto A. Pérez de León, C. Wayne Honeycutt",Opinion: Why we need a National Living Soil Repository,2017,114,52,13587-13590,http://www.pnas.org/content/114/52/13587.abstract,nan,http://www.pnas.org/content/114/52/13587.full,http://www.pnas.org/content/114/52/13587.full.pdf,,yes,
Commentaries,nan,"Daniel Davila-Gonzalez, Jenny C. Chang, Timothy R. Billiar",NO and COX2: Dual targeting for aggressive cancers,2017,114,52,13591-13593,http://www.pnas.org/content/114/52/13591.abstract,nan,http://www.pnas.org/content/114/52/13591.full,http://www.pnas.org/content/114/52/13591.full.pdf,,yes,
Commentaries,nan,R. D. Levine,Photochemistry of highly excited states,2017,114,52,13594-13596,http://www.pnas.org/content/114/52/13594.abstract,nan,http://www.pnas.org/content/114/52/13594.full,http://www.pnas.org/content/114/52/13594.full.pdf,,yes,
Commentaries,nan,"Kathryn M. Rothenhoefer, William R. Stauffer",Dopamine prediction error responses update demand,2017,114,52,13597-13599,http://www.pnas.org/content/114/52/13597.abstract,nan,http://www.pnas.org/content/114/52/13597.full,http://www.pnas.org/content/114/52/13597.full.pdf,,yes,
Commentaries,nan,Vernon L. Scarborough,The hydraulic lift of early states societies,2017,114,52,13600-13601,http://www.pnas.org/content/114/52/13600.abstract,nan,http://www.pnas.org/content/114/52/13600.full,http://www.pnas.org/content/114/52/13600.full.pdf,,yes,
PNAS Plus Significance Statements,nan,nan,PNAS Plus Significance Statements,2017,114,52,13602-13606,http://www.pnas.org/content/114/52/13602.abstract,nan,http://www.pnas.org/content/114/52/13602.full,http://www.pnas.org/content/114/52/13602.full.pdf,,yes,
Physical Sciences,Applied Physical Sciences,"Nicholas Rivera, Gilles Rosolen, John D. Joannopoulos, Ido Kaminer, Marin Soljačić",Making two-photon processes dominate one-photon processes using mid-IR phonon polaritons,2017,114,52,13607-13612,http://www.pnas.org/content/114/52/13607.abstract,nan,http://www.pnas.org/content/114/52/13607.full,http://www.pnas.org/content/114/52/13607.full.pdf,,yes,
Physical Sciences,Biophysics and Computational Biology,"Tjaart P. J. Krüger, Pavel Malý, Maxime T. A. Alexandre, Tomáš Mančal, Claudia Büchel, Rienk van Grondelle",How reduced excitonic coupling enhances light harvesting in the main photosynthetic antennae of diatoms,2017,114,52,E11063-E11071,http://www.pnas.org/content/114/52/E11063.abstract,nan,http://www.pnas.org/content/114/52/E11063.full,http://www.pnas.org/content/114/52/E11063.full.pdf,,yes,
Physical Sciences,Chemistry,"William K. Peters, David E. Couch, Benoit Mignolet, Xuetao Shi, Quynh L. Nguyen, Ryan C. Fortenberry, H. Bernhard Schlegel, Françoise Remacle, Henry C. Kapteyn, Margaret M. Murnane, Wen Li, Zhongheng Fu, Ruifeng Zhang, Qianfan Zhang, Hongzhen Tian, Dominik Legut, Timothy C. Germann, Yuanqi Guo, Shiyu Du, Joseph S. Francisco, Fernando J. Uribe-Romo, Andrew S. Lipton, Song Yang, K. N. Houk, Stuart Brown, Miguel A. Garcia-Garibay, Shan Zhou, Kyle D. Gilroy, Legna Figueroa-Cosme, Yi-Hsien Lee, Jenn-Ming Wu, Younan Xia, Sang Soo Han, Yanqun Song, Haiping Liu, Yufei Yang, Shenlin Wang, Chengqi Yi, Peng R. Chen",Ultrafast 25-fs relaxation in highly excited states of methyl azide mediated by strong nonadiabatic coupling,2017,114,52,E11072-E11081,http://www.pnas.org/content/114/52/E11072.abstract,nan,http://www.pnas.org/content/114/52/E11072.full,http://www.pnas.org/content/114/52/E11072.full.pdf,,yes,
Physical Sciences,Chemistry,"Hang Zhang, Zhongheng Fu, Ruifeng Zhang, Qianfan Zhang, Hongzhen Tian, Dominik Legut, Timothy C. Germann, Yuanqi Guo, Shiyu Du, Joseph S. Francisco",Designing flexible 2D transition metal carbides with strain-controllable lithium storage,2017,114,52,E11082-E11091,http://www.pnas.org/content/114/52/E11082.abstract,nan,http://www.pnas.org/content/114/52/E11082.full,http://www.pnas.org/content/114/52/E11082.full.pdf,,yes,
Physical Sciences,Chemistry,"Cortnie S. Vogelsberg, Fernando J. Uribe-Romo, Andrew S. Lipton, Song Yang, K. N. Houk, Stuart Brown, Miguel A. Garcia-Garibay",Ultrafast rotation in an amphidynamic crystalline metal organic framework,2017,114,52,13613-13618,http://www.pnas.org/content/114/52/13613.abstract,nan,http://www.pnas.org/content/114/52/13613.full,http://www.pnas.org/content/114/52/13613.full.pdf,,yes,
Physical Sciences,Chemistry,"Tung-Han Yang, Shan Zhou, Kyle D. Gilroy, Legna Figueroa-Cosme, Yi-Hsien Lee, Jenn-Ming Wu, Younan Xia",Autocatalytic surface reduction and its role in controlling seed-mediated growth of colloidal metal nanocrystals,2017,114,52,13619-13624,http://www.pnas.org/content/114/52/13619.abstract,nan,http://www.pnas.org/content/114/52/13619.full,http://www.pnas.org/content/114/52/13619.full.pdf,,yes,
Physical Sciences,Chemistry,"Sung Jin Pai, Sang Soo Han",S,2017,114,52,13625-13630,http://www.pnas.org/content/114/52/13625.abstract,nan,http://www.pnas.org/content/114/52/13625.full,http://www.pnas.org/content/114/52/13625.full.pdf,,yes,
Physical Sciences,Chemistry,"Rongfeng Zhu, Yanqun Song, Haiping Liu, Yufei Yang, Shenlin Wang, Chengqi Yi, Peng R. Chen",Allosteric histidine switch for regulation of intracellular zinc(II) fluctuation,2017,114,52,13661-13666,http://www.pnas.org/content/114/52/13661.abstract,nan,http://www.pnas.org/content/114/52/13661.full,http://www.pnas.org/content/114/52/13661.full.pdf,,yes,
Physical Sciences,"Earth, Atmospheric, and Planetary Sciences","William H. Schlesinger, Emily M. Klein, Avner Vengosh",Global biogeochemical cycle of vanadium,2017,114,52,E11092-E11100,http://www.pnas.org/content/114/52/E11092.abstract,nan,http://www.pnas.org/content/114/52/E11092.full,http://www.pnas.org/content/114/52/E11092.full.pdf,,yes,
Physical Sciences,Engineering,"Penghui Cao, Michael P. Short, Sidney Yip, Wei Wei, Lidia Robert, Min Xue, Jennifer Tsoi, Angel Garcia-Diaz, Blanca Homet Moreno, Jungwoo Kim, Rachel H. Ng, Jihoon W. Lee, Richard C. Koya, Begonya Comin-Anduix, Thomas G. Graeber, Antoni Ribas, James R. Heath",Understanding the mechanisms of amorphous creep through molecular simulation,2017,114,52,13631-13636,http://www.pnas.org/content/114/52/13631.abstract,nan,http://www.pnas.org/content/114/52/13631.full,http://www.pnas.org/content/114/52/13631.full.pdf,,yes,
Physical Sciences,Engineering,"Yapeng Su, Wei Wei, Lidia Robert, Min Xue, Jennifer Tsoi, Angel Garcia-Diaz, Blanca Homet Moreno, Jungwoo Kim, Rachel H. Ng, Jihoon W. Lee, Richard C. Koya, Begonya Comin-Anduix, Thomas G. Graeber, Antoni Ribas, James R. Heath",Single-cell analysis resolves the cell state transition and signaling dynamics associated with melanoma drug-induced resistance,2017,114,52,13679-13684,http://www.pnas.org/content/114/52/13679.abstract,nan,http://www.pnas.org/content/114/52/13679.full,http://www.pnas.org/content/114/52/13679.full.pdf,,yes,
Physical Sciences,Environmental Sciences,"Bin Liu, Ningyuan Wang, Minghui Chen, Xiaohong Wu, Duowen Mo, Jianguo Liu, Shijin Xu, Yijie Zhuang","Earliest hydraulic enterprise in China, 5,100 years ago",2017,114,52,13637-13642,http://www.pnas.org/content/114/52/13637.abstract,nan,http://www.pnas.org/content/114/52/13637.full,http://www.pnas.org/content/114/52/13637.full.pdf,,yes,
Social Sciences,Anthropology,"Rahul C. Oka, Marc Kissel, Mark Golitko, Susan Guise Sheridan, Nam C. Kim, Agustín Fuentes, Ningyuan Wang, Minghui Chen, Xiaohong Wu, Duowen Mo, Jianguo Liu, Shijin Xu, Yijie Zhuang",Population is the main driver of war group size and conflict casualties,2017,114,52,E11101-E11110,http://www.pnas.org/content/114/52/E11101.abstract,nan,http://www.pnas.org/content/114/52/E11101.full,http://www.pnas.org/content/114/52/E11101.full.pdf,,yes,
Social Sciences,Psychological and Cognitive Sciences,"Julian J. Zlatev, David P. Daniels, Hajin Kim, Margaret A. Neale",Default neglect in attempts at social influence,2017,114,52,13643-13648,http://www.pnas.org/content/114/52/13643.abstract,nan,http://www.pnas.org/content/114/52/13643.full,http://www.pnas.org/content/114/52/13643.full.pdf,,yes,
Biological Sciences,Anthropology,"Nicolas Andre Stewart, Raquel Fernanda Gerlach, Rebecca L. Gowland, Kurt J. Gron, Janet Montgomery",Sex determination of human remains from peptides in tooth enamel,2017,114,52,13649-13654,http://www.pnas.org/content/114/52/13649.abstract,nan,http://www.pnas.org/content/114/52/13649.full,http://www.pnas.org/content/114/52/13649.full.pdf,,yes,
Biological Sciences,Applied Biological Sciences,"Ming-Tao Zhao, Haodong Chen, Qing Liu, Ning-Yi Shao, Nazish Sayed, Hung-Ta Wo, Joe Z. Zhang, Sang-Ging Ong, Chun Liu, Youngkyun Kim, Huaxiao Yang, Tony Chour, Hong Ma, Nuria Marti Gutierrez, Ioannis Karakikes, Shoukhrat Mitalipov, Michael P. Snyder, Joseph C. Wu, Alaa Talhami, Samarasimhareddy Mamidi, Alexei Shir, Maya Zigler, Salim Joubran, Anna Sagalov, Efrat Flashner-Abramson, Nufar Edinger, Shoshana Klein, Alexander Levitzki",Molecular and functional resemblance of differentiated cells derived from isogenic human iPSCs and SCNT-derived ESCs,2017,114,52,E11111-E11120,http://www.pnas.org/content/114/52/E11111.abstract,nan,http://www.pnas.org/content/114/52/E11111.full,http://www.pnas.org/content/114/52/E11111.full.pdf,,yes,
Biological Sciences,Applied Biological Sciences,"Yael Langut, Alaa Talhami, Samarasimhareddy Mamidi, Alexei Shir, Maya Zigler, Salim Joubran, Anna Sagalov, Efrat Flashner-Abramson, Nufar Edinger, Shoshana Klein, Alexander Levitzki",PSMA-targeted polyinosine/polycytosine vector induces prostate tumor regression and invokes an antitumor immune response in mice,2017,114,52,13655-13660,http://www.pnas.org/content/114/52/13655.abstract,nan,http://www.pnas.org/content/114/52/13655.full,http://www.pnas.org/content/114/52/13655.full.pdf,,yes,
Biological Sciences,Biochemistry,"Gregory C. A. Amos, Takayoshi Awakawa, Robert N. Tuttle, Anne-Catrin Letzel, Min Cheol Kim, Yuta Kudo, William Fenical, Bradley S. Moore, Paul R. Jensen, Zhengren Xu, Zhikai Guo, Hindra, Ming Ma, Dong Yang, Hao Zhou, Yannick Gansemans, Xiangcheng Zhu, Yong Huang, Li-Xing Zhao, Yi Jiang, Jinhua Cheng, Filip Van Nieuwerburgh, Joo-Won Suh, Yanwen Duan, Ben Shen, Lila Neahring, Yunxiao Zhang, Kelsey J. Roberts, Philip A. Beachy, Yanqun Song, Haiping Liu, Yufei Yang, Shenlin Wang, Chengqi Yi, Peng R. Chen, Brandon C. Knott, Nitin T. Supekar, Asif Shajahan, Parastoo Azadi, Peng Zhao, Lance Wells, Jeffrey G. Linger, Sarah E. Hobdey, Todd A. Vander Wall, Todd Shollenberger, John M. Yarbrough, Zhongping Tan, Michael F. Crowley, Michael E. Himmel, Stephen R. Decker, Gregg T. Beckham, Larry E. Taylor, Nora Vázquez-Laslop, Alexander S. Mankin",Comparative transcriptomics as a guide to natural product discovery and biosynthetic gene cluster functionality,2017,114,52,E11121-E11130,http://www.pnas.org/content/114/52/E11121.abstract,nan,http://www.pnas.org/content/114/52/E11121.full,http://www.pnas.org/content/114/52/E11121.full.pdf,,yes,
Biological Sciences,Biochemistry,"Guohui Pan, Zhengren Xu, Zhikai Guo, Hindra, Ming Ma, Dong Yang, Hao Zhou, Yannick Gansemans, Xiangcheng Zhu, Yong Huang, Li-Xing Zhao, Yi Jiang, Jinhua Cheng, Filip Van Nieuwerburgh, Joo-Won Suh, Yanwen Duan, Ben Shen",Discovery of the leinamycin family of natural products by mining actinobacterial genomes,2017,114,52,E11131-E11140,http://www.pnas.org/content/114/52/E11131.abstract,nan,http://www.pnas.org/content/114/52/E11131.full,http://www.pnas.org/content/114/52/E11131.full.pdf,,yes,
Biological Sciences,Biochemistry,"Benjamin R. Myers, Lila Neahring, Yunxiao Zhang, Kelsey J. Roberts, Philip A. Beachy","Rapid, direct activity assays for Smoothened reveal Hedgehog pathway regulation by membrane cholesterol and extracellular sodium",2017,114,52,E11141-E11150,http://www.pnas.org/content/114/52/E11141.abstract,nan,http://www.pnas.org/content/114/52/E11141.full,http://www.pnas.org/content/114/52/E11141.full.pdf,,yes,
Biological Sciences,Biochemistry,"Antonella Amore, Brandon C. Knott, Nitin T. Supekar, Asif Shajahan, Parastoo Azadi, Peng Zhao, Lance Wells, Jeffrey G. Linger, Sarah E. Hobdey, Todd A. Vander Wall, Todd Shollenberger, John M. Yarbrough, Zhongping Tan, Michael F. Crowley, Michael E. Himmel, Stephen R. Decker, Gregg T. Beckham, Larry E. Taylor",Distinct roles of N- and O-glycans in cellulase activity and stability,2017,114,52,13667-13672,http://www.pnas.org/content/114/52/13667.abstract,nan,http://www.pnas.org/content/114/52/13667.full,http://www.pnas.org/content/114/52/13667.full.pdf,,yes,
Biological Sciences,Biochemistry,"Maxim S. Svetlov, Nora Vázquez-Laslop, Alexander S. Mankin",Kinetics of drug–ribosome interactions defines the cidality of macrolide antibiotics,2017,114,52,13673-13678,http://www.pnas.org/content/114/52/13673.abstract,nan,http://www.pnas.org/content/114/52/13673.full,http://www.pnas.org/content/114/52/13673.full.pdf,,yes,
Biological Sciences,Biophysics and Computational Biology,"Miguel Romano-Moreno, Adriana L. Rojas, Chad D. Williamson, David C. Gershlick, María Lucas, Michail N. Isupov, Juan S. Bonifacino, Matthias P. Machner, Aitor Hierro, Wei Wei, Lidia Robert, Min Xue, Jennifer Tsoi, Angel Garcia-Diaz, Blanca Homet Moreno, Jungwoo Kim, Rachel H. Ng, Jihoon W. Lee, Richard C. Koya, Begonya Comin-Anduix, Thomas G. Graeber, Antoni Ribas, James R. Heath, Fabian Dey, Donald Petrey, Barry Honig, Joseph D. Puglisi, Claude J. Rogers, Gregory M. Miller, Ravinder Abrol, Linda C. Hsieh-Wilson, William A. Goddard, Thomas Klose, Akane Urakami, S. Saif Hasan, Wataru Akahata, Michael G. Rossmann, Aaron P. Roznowski, Joshua M. Tokuda, Thomas Klose, Alexander Mauney, Lois Pollack, Bentley A. Fane, Michael G. Rossmann, Saradha Venkatachalapathy, Mallika Nagarajan, G. V. Shivashankar, Caroline Uhler",Molecular mechanism for the subversion of the retromer coat by the,2017,114,52,E11151-E11160,http://www.pnas.org/content/114/52/E11151.abstract,nan,http://www.pnas.org/content/114/52/E11151.full,http://www.pnas.org/content/114/52/E11151.full.pdf,,yes,
Biological Sciences,Biophysics and Computational Biology,"Howook Hwang, Fabian Dey, Donald Petrey, Barry Honig",Structure-based prediction of ligand–protein interactions on a genome-wide scale,2017,114,52,13685-13690,http://www.pnas.org/content/114/52/13685.abstract,nan,http://www.pnas.org/content/114/52/13685.full,http://www.pnas.org/content/114/52/13685.full.pdf,,yes,
Biological Sciences,Biophysics and Computational Biology,"Junhong Choi, Joseph D. Puglisi",Three tRNAs on the ribosome slow translation elongation,2017,114,52,13691-13696,http://www.pnas.org/content/114/52/13691.abstract,nan,http://www.pnas.org/content/114/52/13691.full,http://www.pnas.org/content/114/52/13691.full.pdf,,yes,
Biological Sciences,Biophysics and Computational Biology,"Adam R. Griffith, Claude J. Rogers, Gregory M. Miller, Ravinder Abrol, Linda C. Hsieh-Wilson, William A. Goddard",Predicting glycosaminoglycan surface protein interactions and implications for studying axonal growth,2017,114,52,13697-13702,http://www.pnas.org/content/114/52/13697.abstract,nan,http://www.pnas.org/content/114/52/13697.full,http://www.pnas.org/content/114/52/13697.full.pdf,,yes,
Biological Sciences,Biophysics and Computational Biology,"Moh Lan Yap, Thomas Klose, Akane Urakami, S. Saif Hasan, Wataru Akahata, Michael G. Rossmann",Structural studies of Chikungunya virus maturation,2017,114,52,13703-13707,http://www.pnas.org/content/114/52/13703.abstract,nan,http://www.pnas.org/content/114/52/13703.full,http://www.pnas.org/content/114/52/13703.full.pdf,,yes,
Biological Sciences,Biophysics and Computational Biology,"Yingyuan Sun, Aaron P. Roznowski, Joshua M. Tokuda, Thomas Klose, Alexander Mauney, Lois Pollack, Bentley A. Fane, Michael G. Rossmann",Structural changes of tailless bacteriophage ΦX174 during penetration of bacterial cell walls,2017,114,52,13708-13713,http://www.pnas.org/content/114/52/13708.abstract,nan,http://www.pnas.org/content/114/52/13708.full,http://www.pnas.org/content/114/52/13708.full.pdf,,yes,
Biological Sciences,Biophysics and Computational Biology,"Anastasiya Belyaeva, Saradha Venkatachalapathy, Mallika Nagarajan, G. V. Shivashankar, Caroline Uhler",Network analysis identifies chromosome intermingling regions as regulatory hotspots for transcription,2017,114,52,13714-13719,http://www.pnas.org/content/114/52/13714.abstract,nan,http://www.pnas.org/content/114/52/13714.full,http://www.pnas.org/content/114/52/13714.full.pdf,,yes,
Biological Sciences,Cell Biology,"Mu He, Wenlei Ye, Won-Jing Wang, Eirish S. Sison, Yuh Nung Jan, Lily Yeh Jan, Basile Tarchini, A. J. Hudspeth, Yixiao Zhang, Michael S. Oh, Curtis M. Schauder, Xiaoling Yu, Jeremy M. Baskin, Kerry Dobbs, Luigi D. Notarangelo, Pietro De Camilli, Thomas Walz, Karin M. Reinisch, Miroslava Schaffer, Florian Beck, Shyamal Mosalaganti, Shoh Asano, Henry F. Thomas, Jürgen M. Plitzko, Martin Beck, Wolfgang Baumeister, Benjamin D. Engel, Jia Liu, Xin Jin, Dapeng Zhang, Dongxue Li, Fengqi Hao, Yunpeng Feng, Shan Gu, Fanlin Meng, Miaomiao Tian, Yi Zheng, Ling Xin, Xinbo Zhang, Xue Han, L. Aravind, Min Wei, Yan Y. Yip, Daynea J. Wallock-Richards, Karin Pfisterer, Anneri Sanger, Weronika Ficek, Roberto A. Steiner, Andrew J. Beavil, Maddy Parsons, Mark P. Dodding",Cytoplasmic Cl,2017,114,52,E11161-E11169,http://www.pnas.org/content/114/52/E11161.abstract,nan,http://www.pnas.org/content/114/52/E11161.full,http://www.pnas.org/content/114/52/E11161.full.pdf,,yes,
